year,,year count,,air plane,number cuush plane,Operator,count Operator,Country,Country count,,Crash cause,Crash cause count,Flight phase,Flight phase count,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,47950,25,,Douglas C-47 Skytrain (DC-3),2171,Royal Air Force - RAF,2363,United States of America,6804,,Human factor,9926,Flight,11475,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,159277,83,,PZL-Mielec AN-2,794,United States Air Force - USAF,1444,United Kingdom,2389,,Unknown,8989,Landing (descent or approach),10023,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,243840,127,,Curtiss C-46 Commando,638,Aeroflot - Russian International Airlines,1373,Russia,1505,,Technical failure,6203,NA,638,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,265098,138,,Avro 652 Anson,532,United States Army Air Forces - USAAF,1355,Canada,1374,,Weather,1528,Parking,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,203732,106,,De Havilland DH.60 Moth,450,United States Navy - USN,653,France,848,,"Terrorism act, Hijacking, Sabotage",1263,Takeoff (climb),6052,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,128841,67,,Douglas DC-3,420,Private American,270,Brazil,766,,Other causes,627,Taxiing,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,94276,49,,De Havilland DHC-2 Beaver,349,Royal Australian Air Force - RAAF,263,Germany,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,138600,72,,Britten-Norman Islander,341,French Air Force - Arm¨¦e de l'Air,200,Australia,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,198378,103,,Lockheed C-130 Hercules,326,Royal Canadian Air Force - RCAF,194,World,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,256291,133,,Piper PA-31-310 Navajo,294,Brazilian Air Force - For?a A¨¦rea Brasileira,164,Colombia,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,443440,230,,Consolidated PBY-5A Catalina,293,German Air Force - Deutsche Luftwaffe,163,Mexico,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,540120,280,,Consolidated B-24 Liberator,271,United States Army Air Service - USAAS,152,India,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,496010,257,,De Havilland DHC-6 Twin Otter,269,Soviet Air Force - Voyenno-vozdushnye sily CCCP,151,Indonesia,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,434475,225,,Cessna 402,265,Air France,133,Italy,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,405720,210,,Douglas C-54 Skymaster,265,Deutsche Lufthansa,119,Spain,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,417528,216,,Piper PA-31-350 Navajo Chieftain,257,Royal New Zealand Air Force - RNZAF,106,Vietnam,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,402272,208,,Antonov AN-2,249,Argentinian Air Force - Fuerza A¨¦rea Argentina,100,China,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,363780,188,,Avro 504,246,Spanish Air Force - Ej¨¦rcito del Aire,87,Argentina,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,420112,217,,Beechcraft 90 King Air,236,Indian Air Force - Bharatiya Vayu Sena,84,Papua New Guinea,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,319605,165,,Boeing B-17 Flying Fortress,236,United States Army Air Corps - USAAC,83,New Zealand,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,395352,204,,Antonov AN-12,234,British Overseas Airways Corporation - BOAC,80,Japan,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,463421,239,,De Havilland DH.4,231,Royal Netherlands Navy - Marineluchtvaartdienst,77,Netherlands,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,890460,459,,Douglas A-26 Invader,220,United States Army,74,Bolivia,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,650235,335,,Airspeed AS.10 Oxford,201,U.S. Air Mail Service,70,Venezuela,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,1355516,698,,Noorduyn Norseman,201,Italian Air Force - Aeronautica Militare Italiana,68,Democratic Republic of Congo,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,1587431,817,,Lockheed L-414 Hudson,196,Pan American World Airways - PAA,68,Philippines,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,1837080,945,,Cessna 208B Grand Caravan,192,L'A¨¦ropostale,66,Norway,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,1433465,737,,Beechcraft C-45 Expeditor,189,Private German,65,Ukraine,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,825104,424,,Cessna 207 Skywagon/Stationair,185,China National Aviation Corporation - CNAC,62,Peru,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,722337,371,,Pilatus PC-6 (Porter & Turbo Porter),180,Colombian Air Force - Fuerza A¨¦rea Colombiana,62,Myanmar,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,761668,391,,Lisunov LI-2,177,United Airlines,62,Egypt,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,684099,351,,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),177,French Navy,61,South Africa,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,830700,426,,Fokker F27 Friendship,172,Air America,60,Sweden,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,957941,491,,Antonov AN-26,171,Turkish Air Force - T¨¹rk Hava Kuvvetleri,60,Turkey,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,788608,404,,Mitsubishi MU-2 Marquise,170,American Airlines,59,Belgium,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,658161,337,,Avro 683 Lancaster,164,KLM Royal Dutch Airlines - Koninklijke Luchtvaart Maatschappij,59,Bahamas,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,566660,290,,Beechcraft 200 Super King Air,162,Indian Airlines,58,Thailand,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,545445,279,,Junkers JU.52,159,Private Mexican,57,Iran,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,477264,244,,Antonov AN-24,156,Belgian Air Force - Force A¨¦rienne Belge - Belgische Luchtmacht,53,Kazakhstan,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,516648,264,,Boeing B-29 Superfortress,155,Polyarnaya Aviatsiya,51,Angola,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,532576,272,,Douglas DC-6,153,Mexican Air Force - Fuerza A¨¦rea Mexicana,46,South Korea,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,474078,242,,De Havilland DH.89 Dragon Rapide,151,Private Australian,46,Chile,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,458640,234,,Boeing 707,150,SABENA - Soci¨¦t¨¦ Anonyme Belge d'Exploitation de la Navigation A¨¦rienne,46,Nigeria,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,513782,262,,Lockheed 18 LodeStar,142,Eastern Airlines,45,Switzerland,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,514044,262,,Vickers Viscount,137,Philippine Airlines - PAL,45,Kenya,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,414193,211,,Fairchild C-119 Flying Boxcar,134,Avianca,44,Laos,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,536172,273,,Martin B-26 Marauder,133,Royal Thai Air Force - Kong Thap Akat Thai,44,Poland,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,575745,293,,Lockheed P-2 Neptune,132,Swedish Air Force - Flygvapnet,44,Ecuador,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,552446,281,,Beechcraft D18,130,Ethiopian Airlines,43,Pakistan,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,694351,353,,De Havilland DH.104 Dove,129,VASP - Via??o A¨¦rea de S?o Paulo,43,North Korea,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,669120,340,,De Havilland DHC-3 Otter,127,Lloyd A¨¦reo Boliviano - LAB Airlines,42,Sudan,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,716716,364,,Cessna 414 Chancellor,125,Private New Zealand,42,Afghanistan,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,652070,331,,Piper PA-61 Aerostar (Ted Smith 601),123,Imperial Airways,41,Greece,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,614952,312,,Let L-410,120,British European Airways - BEA,40,Malaysia,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,741472,376,,North American B-25 Mitchell,119,Compagnie G¨¦n¨¦rale d'Entreprises A¨¦ronautiques - CGEA,40,Puerto Rico,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,733956,372,,Piper PA-31 Cheyenne,119,CSA Czech Airlines - Ceskoslovensk¨¦ St¨¢tn¨ª Aerolinie,40,Portugal,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,625758,317,,Beechcraft E18,118,Hellenic Air Force - Elleniki Polemiki Aeroporia,39,Algeria,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,655700,332,,Boeing 737-200,117,Merpati Nusantara Airlines - MNA,38,Morocco,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,606632,307,,Cessna 340,114,Peruvian Air Force - Fuerza A¨¦rea del Per¨²,38,Denmark,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,735444,372,,Fletcher FU-24,114,VARIG - Via??o A¨¦rea Rio Grandense,38,South Sudan,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,807024,408,,Rockwell Grand Commander 680,110,Chilean Air Force - Fuerza A¨¦rea de Chile,37,Tanzania,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,757957,383,,Cessna 421C Golden Eagle III,102,Federal Express - FedEx,37,Libya,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,750420,379,,Boeing B-52 Stratofortress,98,South African Air Force,37,Czech Republic,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,633920,320,,Douglas DC-9,97,Trans World Airlines - TWA,37,Taiwan,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,612438,309,,Ilyushin II-14,97,ZUA - Zakladu Uslug Agrolotniczych - AET Agroaviation Services,37,Guatemala,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
