Country,Countrycount
United States of America,6804
United Kingdom,2389
Russia,1505
Canada,1374
France,848
Brazil,766
Germany,629
Australia,617
World,599
Colombia,533
Mexico,445
India,432
Indonesia,426
Italy,367
Spain,324
Vietnam,320
China,314
Argentina,302
Papua New Guinea,281
New Zealand,278
Japan,273
Netherlands,245
Bolivia,238
Venezuela,224
Democratic Republic of Congo,217
Philippines,217
Norway,182
Ukraine,180
Peru,176
Myanmar,160
Egypt,155
South Africa,153
Sweden,150
Turkey,150
Belgium,146
Bahamas,142
Thailand,133
Iran,127
Kazakhstan,127
Angola,123
South Korea,123
Chile,121
Nigeria,120
Switzerland,120
Kenya,116
Laos,112
Poland,110
Ecuador,107
Pakistan,106
North Korea,104
Sudan,104
Afghanistan,102
Greece,98
Malaysia,93
Puerto Rico,92
Portugal,91
Algeria,88
Morocco,82
Denmark,81
South Sudan,81
Tanzania,81
Libya,80
Czech Republic,79
Taiwan,78
Guatemala,77
Romania,73
Panama,72
Nepal,66
Ireland,65
Austria,63
Honduras,61
Nicaragua,59
Antarctica,57
Yemen,57
Ethiopia,55
Mozambique,55
Cuba,54
Iraq,54
Uzbekistan,54
Iceland,50
Costa Rica,49
Dominican Republic,45
Greenland,45
Saudi Arabia,44
Finland,43
Bangladesh,39
Bulgaria,38
Cameroon,38
Israel,38
Cambodia,37
Georgia,36
Belarus,35
Hungary,35
Malta,35
Somalia,35
Zimbabwe,35
Solomon Islands,34
Paraguay,32
Armenia,30
Haiti,30
US Virgin Islands,30
Azerbaijan,29
Zambia,29
Uruguay,27
Guyana,26
